"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar una orden con y sin cupon de bienvenida","Validar modal del pedido","SUCCESS","2020-08-28T15:59:55.499-05:00[America/Bogota]","0.0","23.1"
"Realizar una orden con y sin cupon de bienvenida","Realizar pedido sin cupon","SUCCESS","2020-08-28T16:00:18.611-05:00[America/Bogota]","0.0","19.6"
"Realizar una orden con y sin cupon de bienvenida","Realizar pedido con cupon","SUCCESS","2020-08-28T16:00:38.217-05:00[America/Bogota]","0.0","66.33"
"Realizar una orden con y sin cupon de bienvenida","Realizar pedido usando el cupon mas de 2 veces","SUCCESS","2020-08-28T16:01:44.56-05:00[America/Bogota]","0.0","18.84"
